case_id,A,C,D,F,Fa,Fd,regime_comb,S
0,7.1,7.0,0.2,7.1,0.1,0.4,FaCADFFd,0.0
1,7.1000000000000005,2.2,1.2000000000000002,8.0,2.8,1.6,FaCADFFd,0.0
2,0.0,3.9,0.0,0.0,7.6000000000000005,0.8,FaCSFd,9.6
3,0.8,5.9,4.0,9.9,1.7,1.6,FaCADFFd,0.0
4,1.5,3.5,5.7,4.6000000000000005,1.8,0.8,FaCADFFd,0.0
5,0.8,5.3,1.7000000000000002,10.7,0.8,0.6000000000000001,FaCADFFd,0.0
6,0.1,1.9,4.2,10.0,0.0,5.7,CADFFd,0.0
7,4.7,4.5,1.5,6.5,3.1,1.5999999999999999,FaCADFFd,0.0
8,0.0,3.0,9.4,6.1,0.0,3.4,CDFFd,0.0
9,0.0,1.2,0.0,0.1,9.7,0.2,FaCFSFd,12.7
10,2.8,2.1,2.7,7.2,1.5,1.6,FaCADFFd,0.0
11,0.0,4.8,4.9,8.5,0.0,3.7,CDFFd,0.0
12,2.4,0.4,0.2,1.6,5.2,0.1,FaCADFSFd,22.1
13,0.9,8.2,0.7,11.3,0.4,0.4,FaCADFFd,0.0
14,0.0,0.0,10.7,3.2,3.7,1.7,FaDFSFd,2.6
15,3.9,8.9,1.4000000000000001,7.5,0.2,0.0,FaCADF,0.0
16,0.5,4.7,1.5,10.8,2.4,1.0,FaCADFFd,0.0
17,0.5,2.0,0.8,10.1,2.5,0.0,FaCADF,0.0
18,1.4000000000000001,0.1,1.5,4.5,2.2,5.2,FaCADFSFd,1.0
19,4.2,6.0,0.2,6.8,2.3,0.4,FaCADFFd,0.0
20,0.8,6.0,0.6000000000000001,12.9,0.2,3.4000000000000004,FaCADFFd,0.0
21,0.4,8.5,0.4,10.7,0.2,1.7,FaCADFFd,0.0
22,0.4,4.5,1.2,12.1,2.6999999999999997,1.0,FaCADFFd,0.0
23,2.6,3.9,1.8,7.3,0.0,0.3,CADFFd,0.0
24,0.5,3.7,1.6,13.1,3.0,0.0,FaCADF,0.0
25,6.9,0.0,6.8,8.2,0.0,0.0,ADF,0.0
26,0.3,6.9,0.7,8.9,0.7,0.4,FaCADFFd,0.0
27,2.4,4.6,5.4,6.1,3.1,1.2,FaCADFFd,0.0
28,1.5,7.7,0.6000000000000001,9.0,0.5,0.6000000000000001,FaCADFFd,0.0
29,4.2,2.5,1.0,7.0,0.30000000000000004,6.9,FaCADFFd,0.0
30,4.9,0.2,1.1,5.0,7.5,0.0,FaCADFS,3.2
31,0.5,0.6000000000000001,5.1,6.7,0.0,5.9,CADFSFd,1.1
32,1.4,0.2,1.1,11.0,8.2,0.0,FaCADF,0.0
33,0.4,7.2,1.2000000000000002,11.9,0.6,0.6000000000000001,FaCADFFd,0.0
34,0.2,10.1,4.5,5.3,0.0,3.8,CADFFd,0.0
35,5.2,1.7000000000000002,0.4,8.6,6.0,0.0,FaCADF,0.0
36,5.3,3.2,0.4,3.4,3.2,0.4,FaCADFFd,0.0
37,0.0,1.3,4.0,8.5,0.0,6.1,CDFFd,0.0
38,3.4,3.5,2.3,2.3000000000000003,6.9,0.4,FaCADFSFd,29.3
39,1.7,0.2,1.3,6.6,5.1,0.0,FaCADF,0.0
40,7.1,5.2,1.9000000000000001,7.6,0.2,0.8,FaCADFFd,0.0
41,0.4,2.0,1.3,8.8,0.0,3.4,CADFFd,0.0
42,2.7,0.2,3.2,6.2,7.9,0.0,FaCADFS,1.7
43,0.30000000000000004,4.0,2.0,10.0,3.0,2.6,FaCADFFd,0.0
44,2.1,3.7,2.0,7.2,5.3,0.2,FaCADFSFd,1.4
45,3.8,3.0,1.5,3.5,3.9,0.2,FaCADFFd,0.0
46,0.4,2.8,0.0,0.0,8.8,0.1,FaCASFd,9.8
47,5.6,4.7,3.0,6.6,0.0,2.0,CADFFd,0.0
48,3.3000000000000003,1.1,4.1,2.5,4.2,0.7,FaCADFFd,0.0
49,2.7,2.8000000000000003,4.8999999999999995,5.1,4.7,1.7,FaCADFFd,0.0
50,2.2,5.2,2.8,6.6000000000000005,0.5,0.6000000000000001,FaCADFFd,0.0
51,5.1,2.5,0.4,9.700000000000001,4.0,0.2,FaCADFFd,0.0
52,0.6000000000000001,7.7,0.2,12.3,0.5,0.6000000000000001,FaCADFFd,0.0
53,3.3,8.0,1.4,9.0,0.0,2.2,CADFFd,0.0
