case_id,A,C,D,F,Fa,regime_comb,Fd,S
0,10.0,0.5,4.4,13.7,1.4,FaCADF,0.0,0.0
1,9.7,0.0,7.4,4.8,0.0,ADF,0.0,0.0
2,2.5,4.0,5.9,3.0999999999999996,4.4,FaCADF,0.0,0.0
3,0.0,6.2,0.6,10.9,0.2,FaCDF,0.0,0.0
4,0.4,2.0,5.7,17.5,0.0,CADFSFd,7.5,1.0
5,0.0,30.6,0.0,35.6,6.1,FaCFSFd,2.2,4.0
6,4.7,6.2,1.2000000000000002,7.3,0.0,CADFFd,2.5,0.0
7,0.1,2.6,6.9,4.1,0.0,CADFFd,2.2,0.0
8,7.9,3.2,0.0,6.2,4.6,FaCAF,0.0,0.0
9,0.2,0.0,0.2,23.5,0.0,ADF,0.0,0.0
10,0.0,0.0,0.0,21.9,0.0,F,0.0,0.0
11,1.2,0.0,2.0,20.7,0.0,ADF,0.0,0.0
12,1.5,0.0,0.6000000000000001,13.8,0.0,ADF,0.0,0.0
13,0.1,10.0,1.0,27.1,0.0,CADFSFd,4.4,5.4
14,0.0,3.0,0.0,10.0,8.6,FaCFS,0.0,0.3
15,2.9,0.0,4.0,17.0,0.0,ADF,0.0,0.0
16,1.8,9.5,7.5,10.9,2.3,FaCADFSFd,1.3,0.7
17,3.7,0.0,0.8999999999999999,13.3,0.0,ADF,0.0,0.0
18,0.8999999999999999,0.0,8.0,11.6,0.0,ADFFd,1.4,0.0
19,7.3,0.0,3.2,10.6,0.8,FaADF,0.0,0.0
20,3.7,0.0,0.0,20.2,0.0,AF,0.0,0.0
21,1.6,0.0,0.2,20.1,0.0,ADF,0.0,0.0
22,0.0,0.8,6.5,8.7,0.0,CDFSFd,5.0,0.9
23,0.0,1.2,0.0,13.6,9.1,FaCF,0.0,0.0
24,5.8999999999999995,0.0,4.6,11.4,0.0,ADF,0.0,0.0
25,7.5,0.0,5.2,35.4,0.0,ADF,0.0,0.0
26,0.0,2.2,0.7,12.5,6.300000000000001,FaCDFS,0.0,0.2
27,0.0,0.0,0.7,19.2,0.0,DF,0.0,0.0
28,3.6,0.0,4.1,14.8,0.0,ADFFd,1.2,0.0
29,4.2,0.0,5.5,12.2,0.0,ADF,0.0,0.0
30,2.1,2.4000000000000004,4.1,8.6,0.0,CADFSFd,6.5,0.3
31,9.2,0.0,2.2,10.3,1.1,FaADF,0.0,0.0
32,2.0,0.4,1.2,18.3,0.0,CADF,0.0,0.0
33,3.5,0.0,0.4,18.0,0.0,ADF,0.0,0.0
34,0.7,0.0,0.3,20.9,0.0,ADF,0.0,0.0
35,1.1,3.2,11.1,5.0,1.5,FaCADFFd,2.0,0.0
36,5.9,0.0,4.2,11.8,0.0,ADF,0.0,0.0
37,4.9,0.0,2.1,14.9,0.0,ADF,0.0,0.0
38,1.3,1.5,2.8,15.6,0.0,CADF,0.0,0.0
39,6.7,0.6,0.0,16.1,0.0,CAFFd,0.5,0.0
40,4.1,0.0,5.1,14.7,0.0,ADF,0.0,0.0
41,3.7,0.0,1.8,15.3,0.0,ADFFd,1.1,0.0
42,5.1,0.0,1.8,14.2,0.8,FaADF,0.0,0.0
43,1.4,0.0,0.7,21.8,0.0,ADF,0.0,0.0
44,2.0,0.0,0.7,19.2,0.0,ADF,0.0,0.0
45,0.4,0.0,0.6,22.9,0.0,ADF,0.0,0.0
46,3.3,0.0,4.6,14.0,0.0,ADF,0.0,0.0
47,5.0,0.0,1.6,15.3,0.0,ADF,0.0,0.0
48,4.7,15.1,0.2,20.2,6.1,FaCADFSFd,0.6,1.2
49,0.0,1.2000000000000002,2.3,18.0,0.0,CDFFd,0.4,0.0
50,0.0,0.6,0.5,22.1,0.0,CDF,0.0,0.0
51,7.6,0.8,6.300000000000001,13.3,0.0,CADF,0.0,0.0
52,4.7,0.0,6.300000000000001,10.0,0.9,FaADF,0.0,0.0
53,0.6000000000000001,0.0,4.6,5.2,0.0,ADFFd,4.4,0.0
54,0.5,1.5,9.5,8.1,1.5,FaCADFSFd,2.0999999999999996,0.8
55,4.9,2.5,2.0,8.8,4.0,FaCADFFd,1.7,0.0
56,3.1,0.0,0.6,18.2,0.0,ADF,0.0,0.0
57,1.5,0.0,0.1,20.3,0.0,ADF,0.0,0.0
58,1.0,0.0,0.0,21.9,0.0,AF,0.0,0.0
59,0.8,1.1,3.9,9.2,3.7,FaCADFFd,3.2,0.0
60,6.2,0.0,4.2,13.5,0.0,ADF,0.0,0.0
61,5.7,0.0,2.9000000000000004,15.3,0.0,ADF,0.0,0.0
62,0.0,0.0,1.1,16.8,0.0,DF,0.0,0.0
63,4.9,10.5,2.8,29.5,4.2,FaCADFSFd,5.8,0.6
64,3.2,7.0,4.7,0.5,0.5,FaCADF,0.0,0.0
65,4.3999999999999995,0.0,4.5,15.0,0.0,ADF,0.0,0.0
66,3.1,0.0,5.5,12.6,0.0,ADFFd,2.0,0.0
67,2.4,0.0,0.2,12.4,6.9,FaADF,0.0,0.0
68,1.4,0.0,0.0,20.5,0.0,AF,0.0,0.0
