case_id,A,D,F,Fa,regime_comb,C,Fd,S
0,7.1000000000000005,0.2,10.0,0.6000000000000001,FaADF,0.0,0.0,0.0
1,7.8,0.0,12.3,0.7,FaCAF,1.1,0.0,0.0
2,7.8,0.7,12.3,1.1,FaADF,0.0,0.0,0.0
3,2.3000000000000003,0.0,19.6,0.0,AF,0.0,0.0,0.0
4,0.6,0.4,13.700000000000001,1.2,FaCADF,6.0,0.0,0.0
5,1.2,1.1,11.3,0.0,CADF,7.300000000000001,0.0,0.0
6,0.0,2.4,9.7,0.0,CDFFd,9.4,0.4,0.0
7,0.0,1.3,20.6,0.0,DF,0.0,0.0,0.0
8,3.0,4.8,13.6,0.0,CADF,0.5,0.0,0.0
9,1.0,1.9,13.0,0.0,ADF,0.0,0.0,0.0
10,0.0,0.0,5.9,8.5,FaCF,1.5,0.0,0.0
11,0.0,0.0,6.8,9.0,FaCF,8.1,0.0,0.0
12,6.6,0.0,4.2,7.1000000000000005,FaAF,0.0,0.0,0.0
13,4.3,2.0,7.7,4.2,FaCADFFd,1.7,2.0,0.0
14,3.8000000000000003,1.8,16.3,0.0,ADF,0.0,0.0,0.0
15,2.9,2.7,1.0999999999999999,2.3000000000000003,FaCADFS,13.4,0.0,1.5
16,3.3,0.30000000000000004,11.2,0.0,CADF,1.0999999999999999,0.0,0.0
17,1.4000000000000001,0.4,16.1,0.0,ADF,0.0,0.0,0.0
18,2.6,0.0,13.3,0.0,AF,0.0,0.0,0.0
19,0.1,0.30000000000000004,15.5,0.0,ADF,0.0,0.0,0.0
20,0.6000000000000001,0.9,10.2,0.0,CADF,4.199999999999999,0.0,0.0
21,0.8,2.6,18.5,0.0,ADF,0.0,0.0,0.0
22,0.5,4.0,2.5999999999999996,0.0,CADFSFd,8.5,4.5,1.8
23,0.0,5.5,12.9,0.0,DFSFd,0.0,0.7,2.8
24,3.3,0.7,8.2,1.8,FaCADFFd,3.4000000000000004,0.5,0.0
25,0.0,0.0,7.7,1.8,FaCFS,6.4,0.0,2.0
